42,33,95,81,95,9,67,14,88,25
72,53,56,87,80,23,80,29,19,91
1,88,91,69,4,32,8,61,58,5
30,36,64,57,71,18,23,33,89,95
15,90,39,16,47,61,21,46,45,56
10,62,49,47,94,41,91,44,92,38
19,2,60,35,22,81,71,82,28,99
35,93,55,23,27,19,55,43,61,6
40,69,92,59,9,70,31,35,68,52
54,99,91,31,43,24,83,67,23,4
42,18,40,91,11,57,44,22,2,57
68,14,96,91,63,35,92,47,42,18
21,93,18,26,80,6,70,32,93,63
87,69,13,11,69,23,48,63,34,98
3,7,14,20,76,66,13,87,78,87
67,75,51,50,34,50,97,45,18,45
42,75,3,73,84,52,16,78,34,71
56,92,94,21,43,18,21,46,15,77
14,71,82,25,82,57,43,65,71,49
20,13,2,85,63,99,41,14,70,53
80,2,18,42,15,81,15,43,69,15
96,3,33,62,8,59,73,91,26,37
32,3,13,24,2,97,19,60,69,15
69,25,81,11,7,90,64,76,23,72
87,86,35,52,46,59,75,50,43,48
89,54,94,48,12,4,21,50,37,45
9,55,58,16,3,10,60,84,36,88
4,84,88,62,75,7,75,7,6,53
17,13,84,54,40,45,64,57,63,41
87,28,90,65,74,38,60,94,71,27
10,58,46,15,45,97,30,52,61,8
42,96,55,75,45,17,73,20,65,42
95,56,80,22,48,97,94,84,17,3
53,2,29,52,47,76,43,25,15,29
69,80,49,78,80,82,78,70,51,50
32,24,60,3,40,63,6,54,87,96
68,80,2,33,90,67,83,94,19,11
83,39,59,87,4,48,20,62,46,67
2,86,43,84,77,2,40,83,43,50
75,74,80,54,13,35,30,1,50,77
98,56,32,86,62,49,8,98,16,15
75,14,89,95,2,73,90,8,34,9
28,6,58,82,54,47,37,32,26,40
79,13,19,85,1,46,53,94,84,79
11,5,79,10,95,14,49,1,80,19
45,11,61,65,90,2,14,82,43,77
90,23,6,70,79,76,21,86,61,29
30,71,42,61,91,32,8,44,15,22
29,56,68,80,15,98,51,26,51,2
13,2,91,4,16,22,26,80,30,40
2,8,1,77,19,34,36,48,86,38
68,96,97,73,62,52,11,14,67,66
21,57,38,26,90,75,78,92,63,8
27,21,97,26,99,46,11,89,13,16
49,25,60,63,71,13,98,49,47,2
6,74,83,35,73,31,18,85,98,12
57,20,57,79,91,50,57,42,94,65
15,58,63,45,40,67,5,68,64,40
59,97,29,78,25,77,78,40,16,32
70,84,59,99,18,13,19,51,64,56
11,24,75,30,12,3,53,19,57,99
41,49,85,15,81,52,74,96,47,83
69,62,75,90,15,81,15,30,43,70
42,83,70,54,27,2,55,11,60,91
5,16,86,97,82,67,22,15,85,4
54,2,32,64,31,68,76,2,75,7
66,7,67,99,98,45,72,71,58,47
51,49,45,55,27,91,18,56,92,35
94,61,38,53,53,64,86,79,7,93
59,57,41,14,32,1,2,51,99,49
90,32,40,36,91,48,86,79,6,54
14,98,32,3,37,86,56,69,20,89
14,58,62,16,43,83,40,78,42,45
80,38,43,74,51,65,76,41,11,87
40,55,97,4,93,67,71,65,62,26
17,74,68,37,4,58,98,18,5,28
92,67,20,86,71,28,28,32,29,33
35,27,43,69,89,56,1,18,7,55
75,7,34,69,3,67,93,41,70,22
72,37,79,19,52,35,85,24,67,67
88,63,88,44,33,85,73,41,38,15
62,21,90,58,86,20,52,97,19,10
75,75,66,98,56,74,70,32,74,87
35,7,27,21,69,29,78,98,34,24
27,26,25,25,45,77,38,63,79,39
89,80,85,26,63,43,77,38,49,57
43,20,53,75,29,80,75,85,53,53
96,64,80,46,1,35,61,62,3,8
66,52,57,6,58,22,40,25,64,87
62,92,73,51,31,76,70,79,35,95
12,27,52,21,52,31,1,43,23,81
94,7,77,80,91,73,77,36,43,29
45,73,57,30,43,74,89,33,38,53
58,77,47,3,25,22,24,70,47,34
41,90,34,59,37,22,12,27,97,55
24,93,7,84,93,20,22,81,37,97
90,2,38,38,93,15,30,30,77,31
57,24,8,75,84,38,88,54,55,67
1,62,98,51,92,3,54,49,89,33
62,94,18,54,23,11,29,85,36,77
